DrugID,DrugName,CID,ChEBI_ID
498,Bunaftine,36131,CHEBI:135392
499,Bunazosin,2472,CHEBI:135576
500,Bupivacaine,2474,CHEBI:77431
501,Bupranolol,2475,CHEBI:135123
502,Buprenorphine,644073,CHEBI:3216
503,Bupropion,444,CHEBI:3219
504,Buspirone,2477,CHEBI:3223
505,Busulfan,2478,CHEBI:28901
506,Butabarbital,2479,CHEBI:3228
507,Butacaine,2480,CHEBI:94820
508,Butalbital,2481,CHEBI:102524
509,Butamben,2482,CHEBI:3231
510,Butanilicaine,22379,CHEBI:55518
511,Butaperazine,12598,CHEBI:135663
512,Buthiazide,16274,CHEBI:135492
513,Buthionine sulfoximine,21157,CHEBI:28714
514,Butobarbital,6473,CHEBI:134884
515,Butorphanol,5361092,CHEBI:3242
516,Butylphthalide,61361,CHEBI:177504
517,Butylscopolamine,160883,CHEBI:145701
518,Butyrfentanyl,621174,CHEBI:233557
519,Butyrylthiocholine,20689,CHEBI:41055
520,CA4P,100154,
521,CM-4307,25191001,
522,CUDC-101,24756910,
523,Cabazitaxel,9854073,CHEBI:63584
524,Cabergoline,54746,CHEBI:3286
525,Cabotegravir,54713659,CHEBI:172944
526,Cabozantinib,25102847,CHEBI:72317
527,Cadralazine,2515,CHEBI:31331
528,Cafedrine,5489638,CHEBI:135510
529,Caffeine,2519,CHEBI:27732
530,Calcifediol,5283731,CHEBI:17933
531,Calcitriol,5280453,CHEBI:17823
532,Calcium,5460341,CHEBI:22984
533,Calcium cation,271,CHEBI:29108
534,Calcium glubionate anhydrous,6093407,
535,Calcium glucoheptonate,62859,CHEBI:3314
536,Calcium gluconate,9290,CHEBI:3309
537,Calcium levulinate,68651,
538,Calcium pangamate,76966485,
539,Calyculin A,5311365,
540,Camazepam,37367,CHEBI:135570
541,Camptothecin,24360,CHEBI:27656
542,Camylofin,5902,CHEBI:95216
543,Canagliflozin,24812758,CHEBI:73274
544,Candesartan,2541,CHEBI:3347
545,Candesartan cilexetil,2540,CHEBI:3348
546,Candicidin,10079874,CHEBI:3349
547,Candoxatril,5362417,CHEBI:3353
548,Canertinib,156414,CHEBI:61399
549,Cangrelor,9854012,CHEBI:90841
550,Cannabidiol,644019,CHEBI:69478
551,Cannabidivarin,11601669,CHEBI:182159
552,Cannabinol,2543,CHEBI:3360
553,Canrenoic acid,656615,CHEBI:50156
554,Canrenone,13789,CHEBI:135445
555,Capecitabine,60953,CHEBI:31348
556,Capivasertib,25227436,CHEBI:229222
557,Capmatinib,25145656,CHEBI:231693
558,Capravirine,1783,
559,Capreomycin,3000502,
560,Caprylic acid,379,CHEBI:28837
561,Capsaicin,1548943,CHEBI:3374
562,Captodiame,10240,CHEBI:135521
563,Captopril,44093,CHEBI:3380
564,Carbamazepine,2554,CHEBI:3387
565,Carbamoylcholine,2551,
566,Carbenicillin,20824,CHEBI:3393
567,Carbetocin,16681432,CHEBI:59204
568,Carbidopa,34359,CHEBI:39585
569,Carbimazole,31072,CHEBI:617099
570,Carbinoxamine,2564,CHEBI:3398
571,Carbocisteine,193653,CHEBI:16163
572,Carbomycin,5287879,
573,Carboprost,5281075,CHEBI:3403
574,Carboquone,2569,CHEBI:31356
575,Carboxyamidotriazole,108144,
576,Carbromal,6488,CHEBI:134961
577,Carbutamide,9564,CHEBI:135118
578,Carfecillin,33672,CHEBI:3414
579,Carfentanil,62156,CHEBI:61084
580,Carfilzomib,11556711,CHEBI:65347
581,Carindacillin,93184,CHEBI:52015
582,Cariporide,151172,
583,Cariprazine,11154555,CHEBI:90933
584,Carisbamate,6918474,CHEBI:135966
585,Carisoprodol,2576,CHEBI:3419
586,Carmegliptin,11417567,
587,Carmofur,2577,CHEBI:31360
588,Carmustine,2578,CHEBI:3423
589,Caroverine,65709,CHEBI:135541
590,Caroxazone,29083,CHEBI:134867
591,Carprofen,2581,CHEBI:364453
592,Carteolol,2583,CHEBI:3437
593,Carvedilol,2585,CHEBI:3441
594,Caspofungin,16119814,
595,Castanospermine,54445,CHEBI:27860
596,Cathine,441457,CHEBI:4109
597,Cathinone,62258,CHEBI:4110
598,Cediranib,9933475,CHEBI:94782
599,Cefacetrile,91562,CHEBI:135437
600,Cefaclor,51039,CHEBI:3478
601,Cefadroxil,47965,CHEBI:3479
602,Cefaloridine,5773,CHEBI:3537
603,Cefalotin,6024,CHEBI:124991
604,Cefamandole,456255,CHEBI:3480
605,Cefamandole nafate,23665731,CHEBI:3481
606,Cefapirin,30699,CHEBI:554446
607,Cefatrizine,6410758,CHEBI:131730
608,Cefazedone,71736,CHEBI:131731
609,Cefazolin,33255,CHEBI:474053
610,Cefbuperazone,127527,CHEBI:135856
611,Cefcapene,6436055,CHEBI:131729
612,Cefdinir,6915944,CHEBI:3485
